Date;EMP;PE;CAPE;DY;Rho;MOV ;IR;RR;Y02;Y10;STP;CF;MG;RV;ED;UN;GDP;M2;CPI;DIL;YSS;NYF;_AU;_DXY;_LCP;_TY;_OIL;_MKT;_VA;_GR
5/14/89;3,8%;12,9;15,756;3,47;0,619;107,4;8,21;2,451;8,866;8,83;-0,036;-0,0299500831946756;10,1%;13,1%;16,4%;-0,0714285714285713;0,0296217054992594;0,027341079972659;0,041561440219352;-0,00532695263378513;0,061818;1,381331804;377,25;99,44;2859,6;105,296;20,12;509,16;1030,995;572,089
5/21/89;3,8%;13,1;16,148;3,39;0,632;99,9;8,35;2,115;8,986;8,748;-0,238;-0,0291181364392679;10,1%;13,1%;16,4%;-0,0714285714285713;0,0374791338490112;0,0292549555707451;0,0456382134353128;-0,00559458801635526;0,048159;1,372502319;365,75;101,97;2636,7;106,018;20,57;522,31;1030,995;572,089
5/28/89;3,8%;13,1;16,188;3,39;0,623;102,6;8,52;2,115;8,978;8,695;-0,283;-0,0291181364392679;10,1%;13,1%;16,4%;-0,0714285714285713;0,0374791338490112;0,0292549555707451;0,0456382134353128;-0,0056702585679832;0,049547;1,372502319;363,5;102,52;2523;106,547;19,54;524,08;1030,995;572,089
6/4/89;3,8%;13,3;16,357;3,34;0,617;112,2;8,36;2,115;8,564;8,391;-0,173;-0,0291181364392679;9,4%;13,4%;16,7%;-0,0714285714285713;0,0374791338490112;0,0292549555707451;0,0456382134353128;-0,00458275704163402;0,045698;1,372502319;362;101,22;2503,6;108,494;20,18;531,32;1062,189;598,518
6/11/89;3,8%;13,3;16,386;3,34;0,61;126,3;8,22;2,115;8,285;8,133;-0,152;-0,0291181364392679;9,4%;13,4%;16,7%;-0,0714285714285713;0,0374791338490112;0,0292549555707451;0,0456382134353128;-0,00558247166816972;0,044741;1,372502319;368,5;104,32;2552,2;110,507;19,87;532,74;1062,189;598,518
6/18/89;3,8%;13,2;16,143;3,39;0,619;122,2;8,14;1,998;8,531;8,325;-0,206;0,0129645635263613;9,4%;13,4%;16,7%;-0,0185185185185186;0,0374791338490112;0,0304587530628915;0,0454529122201861;-0,00559641493868768;0,029659;2,471519284;363,5;103,33;2638,5;109,302;19,98;525,34;1062,189;598,518
6/25/89;3,8%;13,4;16,484;3,33;0,623;114,5;8,05;1,998;8,376;8,229;-0,147;0,0129645635263613;9,4%;13,4%;16,7%;-0,0185185185185186;0,0374791338490112;0,0304587530628915;0,0454529122201861;-0,00557147850401951;0,034108;2,471519284;371,25;100,93;2548,4;110,156;19,71;536,92;1062,189;598,518
7/2/89;3,9%;13;15,995;3,43;0,6;119,6;7,99;1,998;8,107;8,076;-0,031;0,0129645635263613;8,2%;13,2%;16,3%;-0,0185185185185186;0,0374791338490112;0,0304587530628915;0,0454529122201861;-0,00514122655974403;0,037548;2,471519284;371,25;102,02;2521,8;111,428;20,29;521,5;1061,06;594,698
7/9/89;4,0%;13,3;16,296;3,36;0,588;117,6;7,73;1,998;7,85;8,012;0,162;0,0129645635263613;8,2%;13,4%;16,4%;-0,0185185185185186;0,0374791338490112;0,0304587530628915;0,0454529122201861;-0,00889244142478884;0,028476;2,471519284;384,5;98,31;2393,9;112,058;20,77;533,05;1061,06;594,698
7/16/89;4,0%;13,6;16,643;3,3;0,6;115,2;7,84;1,804;7,822;8,033;0,211;0,0607929515418502;8,2%;13,4%;16,4%;-0,0370370370370371;0,0374791338490112;0,0356948968512487;0,0453055888831186;-0,0077480112972953;0,022849;3,044650997;371,25;99,99;2462,1;112,075;20,35;544,86;1061,06;594,698
7/23/89;4,0%;13,5;16,879;3,26;0,587;109,9;8,12;1,804;7,941;8,059;0,118;0,0607929515418502;8,2%;13,4%;16,4%;-0,0370370370370371;0,0374791338490112;0,0356948968512487;0,0453055888831186;-0,0090573122460762;0,02173;3,044650997;371,75;99,8;2481,1;112,061;19,86;553,07;1061,06;594,698
7/30/89;4,0%;13,8;17,203;3,2;0,555;106,5;7,86;1,804;7,656;7,854;0,198;0,0607929515418502;8,2%;13,4%;16,4%;-0,0370370370370371;0,0374791338490112;0,0356948968512487;0,0453055888831186;-0,00951836581055976;0,02403;3,044650997;369,75;98,29;2584,4;113,719;17,96;564,18;1061,06;594,698
8/6/89;4,1%;13,9;17,274;3,19;0,549;116,3;7,87;1,804;8,002;7,994;-0,008;0,0607929515418502;7,6%;13,4%;16,2%;-0,0370370370370371;0,0374791338490112;0,0356948968512487;0,0453055888831186;-0,00817130537272337;0,026461;3,044650997;371;99,52;2566,2;112,868;18,05;567,94;1136,107;661,895
8/13/89;4,1%;13,9;17,301;3,18;0,519;125,5;7,96;1,804;8,163;8,118;-0,045;0,0607929515418502;7,6%;13,4%;16,2%;-0,0370370370370371;0,0374791338490112;0,0356948968512487;0,0453055888831186;-0,00829380715880379;0,022328;3,044650997;361,5;101,03;2585,3;112,146;18,46;569,31;1136,107;661,895
8/20/89;4,1%;13,9;17,301;3,18;0,536;123,4;7,86;2,087;8,346;8,207;-0,139;-0,035923141186299;7,6%;13,4%;16,2%;-0,0714285714285713;0,0390755785931631;0,0414634146341464;0,0443567820359496;-0,00848985707538497;0,019731;3,741540733;366,75;101,73;2817,5;111,681;18,82;569,83;1136,107;661,895
8/27/89;4,1%;14,1;17,564;3,13;0,529;124,2;7,96;2,087;8,365;8,261;-0,104;-0,035923141186299;7,6%;13,4%;16,2%;-0,0714285714285713;0,0390755785931631;0,0414634146341464;0,0443567820359496;-0,00705894122861406;0,033231;3,741540733;359,75;101,85;3086,2;111,473;18,53;579;1136,107;661,895
9/3/89;4,1%;14,2;17,598;3,15;0,519;119,6;7,86;2,087;8,342;8,169;-0,173;-0,035923141186299;7,4%;13,5%;16,1%;-0,0714285714285713;0,0390755785931631;0,0414634146341464;0,0443567820359496;-0,00823246241322784;0,015483;3,741540733;359;102,83;2999,2;111,958;18,88;582,5;1157,14;669,329
9/10/89;4,1%;14,1;17,339;3,2;0,513;114,4;7,78;2,087;8,274;8,134;-0,14;-0,035923141186299;7,4%;13,5%;16,1%;-0,0714285714285713;0,0390755785931631;0,0414634146341464;0,0443567820359496;-0,00866032413425821;0,013248;3,741540733;360;103,5;2907,4;112,394;19,76;574,44;1157,14;669,329
9/17/89;4,1%;13,9;17,113;3,24;0,5;113,5;7,53;1,641;8,058;8,078;0,02;0,050587172538392;7,4%;13,5%;16,1%;-0,0185185185185186;0,0390755785931631;0,0458588386485845;0,0416932907348242;-0,00845213884809526;0,025862;6,884537024;356,5;102,29;2936,8;112,988;19,95;567,49;1157,14;669,329
